dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_municipal_property_tax_rates_ure8-3w7m.csv,60276,1112,5,parquet+snappy,8488,7.1013,141.48,2.15
data_municipal_property_tax_rates_ure8-3w7m.csv,60276,1112,5,parquet+zstd,7303,8.2536,86.08,262.26
data_municipal_property_tax_rates_ure8-3w7m.csv,60276,1112,5,polypress,3031,19.8865,3.04,133.62
data_municipal_property_tax_rates_ure8-3w7m.csv,60276,1112,5,polypress+brotli,3010,20.0252,,
data_municipal_property_tax_rates_ure8-3w7m.csv,60276,1112,5,polypress+zstd,3381,17.8279,,
data_municipal_property_tax_rates_ure8-3w7m.csv,60276,1112,5,polypress-turbo,3048,19.7756,4.11,128.27
data_municipal_property_tax_rates_ure8-3w7m.csv,60276,1112,5,xz -9e,4912,12.2712,5.36,20.56
data_municipal_property_tax_rates_ure8-3w7m.csv,60276,1112,5,zstd -19,5029,11.9857,2.9,16.22
data_municipal_property_tax_rates_ure8-3w7m.csv,60276,1112,5,zstd -22,5029,11.9857,0.98,15.17
data_municipal_property_tax_rates_ure8-3w7m.csv,60276,1112,5,zstd -3,7239,8.3266,21.66,24.94
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,brotli -q11,12288,4.9057,1.47,25.97
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,bzip2 -9,11994,5.0259,13.64,20.15
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,feather+lz4,36298,1.6607,396.92,463.07
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,feather+zstd,23722,2.5411,275.42,470.83
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,gzip -9,14222,4.2386,14.94,32.15
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,lz4 -9,17986,3.3516,21.56,30.28
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,orc+snappy,23182,2.6003,139.23,235.42
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,orc+zlib,16850,3.5775,84.67,310.61
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,orc+zstd,16852,3.5771,141.17,489.05
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,parquet+brotli,18512,3.2563,1.91,140.46
data_naloxone365_nj_free_naloxone_at_pharmaci_nfsa-3664.csv,60281,675,6,parquet+gzip,20240,2.9783,41.06,153.42
