dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,xz -9e,21916,3.9285,6.15,27.25
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,zstd -19,23689,3.6344,4.02,27.89
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,zstd -22,23689,3.6344,1.49,28.59
data_missouri_law_enforcement_agencies_cgbu-k38b.csv,86096,591,11,zstd -3,27622,3.1169,29.12,33.89
data_open_meetings_au6r-w9n3.csv,86404,147,31,brotli -q11,13473,6.4131,1.5,30.36
data_open_meetings_au6r-w9n3.csv,86404,147,31,bzip2 -9,16772,5.1517,16.12,29.03
data_open_meetings_au6r-w9n3.csv,86404,147,31,feather+lz4,39418,2.192,234.87,235.94
data_open_meetings_au6r-w9n3.csv,86404,147,31,feather+zstd,29250,2.954,273.51,269.05
data_open_meetings_au6r-w9n3.csv,86404,147,31,gzip -9,18400,4.6959,27.91,43.86
data_open_meetings_au6r-w9n3.csv,86404,147,31,lz4 -9,20004,4.3193,30.94,43.93
data_open_meetings_au6r-w9n3.csv,86404,147,31,orc+snappy,31961,2.7034,65.55,276.22
data_open_meetings_au6r-w9n3.csv,86404,147,31,orc+zlib,23858,3.6216,43.77,245.53
data_open_meetings_au6r-w9n3.csv,86404,147,31,orc+zstd,24216,3.5681,64.87,285.36
data_open_meetings_au6r-w9n3.csv,86404,147,31,parquet+brotli,25583,3.3774,2.07,132.51
data_open_meetings_au6r-w9n3.csv,86404,147,31,parquet+gzip,29045,2.9748,53.93,131.12
data_open_meetings_au6r-w9n3.csv,86404,147,31,parquet+snappy,35612,2.4263,118.05,9.85
data_open_meetings_au6r-w9n3.csv,86404,147,31,parquet+zstd,28016,3.0841,12.84,166.09
data_open_meetings_au6r-w9n3.csv,86404,147,31,polypress,14570,5.9303,1.78,81.83
data_open_meetings_au6r-w9n3.csv,86404,147,31,polypress+brotli,13364,6.4654,,
data_open_meetings_au6r-w9n3.csv,86404,147,31,polypress+zstd,15305,5.6455,,
data_open_meetings_au6r-w9n3.csv,86404,147,31,xz -9e,14800,5.8381,6.3,30.66
data_open_meetings_au6r-w9n3.csv,86404,147,31,zstd -19,15511,5.5705,3.8,33.09
data_open_meetings_au6r-w9n3.csv,86404,147,31,zstd -22,15490,5.5781,1.07,29.56
data_open_meetings_au6r-w9n3.csv,86404,147,31,zstd -3,17569,4.918,30.24,35.61
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,brotli -q11,5121,17.7967,1.2,35.1
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,bzip2 -9,7458,12.22,17.37,35.52
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,feather+lz4,15666,5.8175,651.2,903.68
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,feather+zstd,9906,9.2002,960.44,1082.88
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,gzip -9,9923,9.1844,13.88,43.59
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,lz4 -9,14562,6.2585,28.22,47.12
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,orc+snappy,8492,10.7321,198.06,592.65
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,orc+zlib,7051,12.9254,193.84,851.35
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,orc+zstd,6990,13.0382,254.5,1085.96
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,parquet+brotli,9509,9.5843,8.43,374.76
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,parquet+gzip,10017,9.0982,108.87,440.39
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,parquet+snappy,12040,7.5695,226.72,3.47
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,parquet+zstd,9376,9.7202,53.67,465.03
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,polypress,2877,31.6778,3.92,204.85
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,polypress+brotli,2537,35.9231,,
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,polypress+zstd,3113,29.2763,,
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,xz -9e,5340,17.0669,6.0,33.23
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,zstd -19,6059,15.0416,3.04,33.23
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,zstd -22,6059,15.0416,1.4,31.95
data_covid_19_vaccine_distribution_allocation_b7pe-5nws.csv,91137,1701,4,zstd -3,9138,9.9734,29.9,39.18
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,brotli -q11,5362,17.6604,1.22,35.39
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,bzip2 -9,7194,13.1631,18.51,38.33
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,feather+lz4,15618,6.0632,734.16,1085.19
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,feather+zstd,10322,9.1741,957.06,1128.35
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,gzip -9,9704,9.7583,21.17,53.14
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,lz4 -9,14374,6.5879,30.37,48.88
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,orc+snappy,8926,10.6089,206.33,603.62
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,orc+zlib,7218,13.1193,201.92,863.43
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,orc+zstd,7227,13.1029,257.91,1185.61
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,parquet+brotli,8280,11.4366,9.91,432.19
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,parquet+gzip,8767,10.8013,154.66,415.03
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,parquet+snappy,9850,9.6137,241.01,3.59
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,parquet+zstd,8235,11.4991,78.12,401.19
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,polypress,2657,35.6398,4.06,213.88
data_covid_19_vaccine_distribution_allocation_saz5-9hgg.csv,94695,1764,4,polypress+brotli,2417,39.1787,,
