dataset,csv_bytes,rows,cols,codec,bytes,ratio_vs_csv,enc_mbs,dec_mbs
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,xz -9e,15872,4.0033,5.85,22.4
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,zstd -19,17399,3.652,3.81,25.34
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,zstd -22,17399,3.652,1.27,20.92
data_city_building_codes_for_missouri_hhyk-mgim.csv,63541,970,9,zstd -3,20358,3.1212,22.23,25.87
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,brotli -q11,15505,5.3641,1.36,33.0
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,bzip2 -9,15456,5.3811,15.31,31.14
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,feather+lz4,40850,2.036,513.01,756.71
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,feather+zstd,26418,3.1483,374.7,629.68
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,gzip -9,17538,4.7423,19.01,47.77
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,lz4 -9,21802,3.8148,25.04,42.53
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,orc+snappy,29453,2.8239,205.32,326.33
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,orc+zlib,21773,3.8199,114.08,380.0
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,orc+zstd,21152,3.9321,199.45,659.44
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,parquet+brotli,19606,4.2421,1.82,192.63
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,parquet+gzip,21178,3.9272,44.06,203.41
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,parquet+snappy,30586,2.7193,171.42,3.11
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,parquet+zstd,20300,4.0971,10.55,278.19
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,polypress,15711,5.2938,2.13,53.08
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,polypress+brotli,15679,5.3046,,
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,polypress+zstd,16507,5.0385,,
datos_listado_de_medicamentos_en_venta_libre_xzwx-qpja.csv,83171,997,3,xz -9e,15864,5.2428,5.84,28.91
